Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
5/1/2018,9119.009766,673.612976,0.358693,0.005144,1351.280029,0.439733,0.550401,14.1643,148.488007,240.259995,0.503444,1.00349,59.984001,38.93,227.139999,53.330002,11.13,50.82
5/2/2018,9235.919922,687.148987,0.37242,0.005273,1458.719971,0.439227,0.564701,14.4092,151.576996,249.664001,0.491364,0.997464,60.23,37.75,226.309998,52.310001,10.97,50.259998
5/3/2018,9743.860352,779.54303,0.369709,0.005641,1511.969971,0.437379,0.567669,14.6526,161.459,245.979004,0.49158,0.997973,56.889999,38.099998,232.990005,52.279999,10.93,50.310001
5/4/2018,9700.759766,785.624023,0.360182,0.005269,1517.329956,0.43114,0.582583,14.3295,168.787994,241.526993,0.482687,0.998561,58.818001,38.59,239.059998,52.779999,11.28,52.490002
5/7/2018,9373.009766,753.724976,0.335176,0.004817,1655.199951,0.395702,0.573018,13.7025,164.878998,233.070999,0.405995,0.997237,60.554001,38.450001,248.679993,53.330002,11.59,53.009998
5/8/2018,9234.820313,752.856995,0.328352,0.005303,1611.939941,0.386371,0.552857,13.529,159.617004,223.354004,0.391668,1.00212,60.394001,39.18,250.399994,53.630001,11.61,52.860001
5/9/2018,9325.179688,752.275024,0.323593,0.005093,1638.339966,0.37797,0.539512,14.6602,157.054993,227.518997,0.379371,1.00051,61.369999,39.349998,255.779999,54.34,11.95,53.169998
5/10/2018,9043.94043,727.276978,0.297089,0.00487,1528.589966,0.353962,0.526373,13.8184,149.869003,218.222,0.383166,1.00134,61.004002,39.77,260.130005,54.98,12.13,54.970001
5/11/2018,8441.490234,679.585999,0.260127,0.004362,1371.73999,0.314252,0.467844,12.9939,137.117004,197.740005,0.348191,1.00225,60.212002,39.91,254.529999,54.669998,11.95,55.23
5/14/2018,8716.790039,730.549011,0.273434,0.00446,1431.689941,0.36968,0.516912,12.8707,147.714005,215.042999,0.404774,1.00127,58.394001,39.950001,255.360001,54.900002,12.23,56.740002
5/15/2018,8510.379883,708.870972,0.260155,0.004515,1343.380005,0.348445,0.504004,12.5678,139.880005,205.169998,0.372427,1.00114,56.835999,39.299999,245.559998,53.919998,12.45,55.639999
5/16/2018,8368.830078,707.049988,0.256375,0.004385,1280.619995,0.334677,0.480891,12.2605,139.268005,199.209,0.392283,0.99995,57.296001,39.790001,246.009995,54.639999,12.82,56.700001
