Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
8/2/2016,373.446991,3.17979,0,0.000287,0,0.001841,0,0,3.06216,0.481636,0,1
9/2/2016,376.028992,4.04464,0,0.000292,0,0.001826,0,0,3.08155,0.46485,0,1
10/2/2016,381.648987,4.43626,0,0.000298,0,0.001849,0,0,3.09525,0.480424,0,1
11/2/2016,379.653992,6.0131,0,0.00029,0,0.001878,0,0,3.07562,0.516381,0,1
12/2/2016,384.263,5.54698,0,0.000301,0,0.002344,0,0,3.11187,0.612499,0,1
13/2/2016,391.859985,5.38532,0,0.000295,0,0.002203,0,0,3.12969,0.804311,0,1
14/2/2016,407.230011,5.23973,0,0.000301,0,0.00219,0,0,3.21059,0.846403,0,1.00089
15/2/2016,400.184998,5.28835,0,0.000298,0,0.002203,0,0,3.18251,0.791647,0,1.00001
16/2/2016,407.488007,4.31529,0,0.000292,0,0.002649,0,0,3.20901,0.935744,0,1.00001
17/2/2016,416.321991,3.75724,0,0.000278,0,0.002158,0,0,3.24103,0.733156,0,1
18/2/2016,422.372986,4.39913,0,0.000278,0,0.002122,0,0,3.25143,0.774533,0,1
19/2/2016,420.785004,4.73789,0,0.000297,0,0.00211,0,0,3.25279,0.819088,0,1
20/2/2016,437.164001,4.34133,0,0.000291,0,0.002101,0,0,3.45799,0.824465,0,1
21/2/2016,438.798004,4.65362,0,0.000285,0,0.002157,0,0,3.46427,0.782148,0,1
22/2/2016,437.747986,5.6165,0,0.000283,0,0.001976,0,0,3.48363,0.77803,0,1
23/2/2016,420.735992,5.58621,0,0.00028,0,0.001903,0,0,3.39693,0.756528,0,1
24/2/2016,424.954987,6.23647,0,0.000278,0,0.001959,0,0,3.37487,0.801251,0,0.999844
25/2/2016,424.544006,6.1048,0,0.000269,0,0.001975,0,0,3.36552,0.806427,0,1
26/2/2016,432.152008,5.92167,0,0.000259,0,0.001943,0,0,3.41679,0.813595,0,1
27/2/2016,432.519012,6.42586,0,0.000255,0,0.002003,0,0,3.41288,0.8297,0,1
28/2/2016,433.503998,6.46835,0,0.000254,0,0.001981,0,0,3.44186,0.870485,0,1
29/2/2016,437.696991,6.33699,0,0.00025,0,0.001949,0,0,3.44611,0.870503,0,1.00002
1/3/2016,435.122986,7.65369,0,0.000249,0,0.001909,0,0,3.43297,0.847996,0,0.999991
2/3/2016,423.989014,8.46539,0,0.000244,0,0.001884,0,0,3.36502,0.827633,0,0.999962
3/3/2016,421.651001,9.29415,0,0.000245,0,0.00189,0,0,3.32353,1.09001,0,0.999999
4/3/2016,410.938995,10.406,0,0.000238,0,0.001914,0,0,3.25023,1.09933,0,1
5/3/2016,400.570007,11.0037,0,0.000224,0,0.001824,0,0,3.19216,1.20169,0,1
6/3/2016,407.707001,11.3829,0,0.000221,0,0.001938,0,0,3.22165,1.20292,0,0.999998
7/3/2016,414.321014,9.55263,0,0.000233,0,0.002392,0,0,3.26775,1.07121,0,0.999998
8/3/2016,413.971985,9.84721,0,0.00022,0,0.002216,0,0,3.25422,1.18654,0,1
9/3/2016,414.859985,11.898,0,0.00023,0,0.002229,0,0,3.27985,1.2424,0,0.999895
10/3/2016,417.131012,11.305,0,0.000241,0,0.002368,0,0,3.28755,1.09481,0,0.999994
11/3/2016,421.690002,11.0828,0,0.000241,0,0.002567,0,0,3.3847,1.09733,0,0.999995
12/3/2016,411.623993,13.5333,0,0.000237,0,0.00227,0,0,3.29018,1.15452,0,0.999895
13/3/2016,414.065002,14.475,0,0.000245,0,0.002177,0,0,3.3074,1.24465,0,0.999918
14/3/2016,416.437988,12.4526,0,0.000238,0,0.002138,0,0,3.30352,1.11622,0,0.999994
15/3/2016,416.829987,13.01,0,0.000231,0,0.002193,0,0,3.30578,1.14372,0,1
16/3/2016,417.010986,12.5209,0,0.000231,0,0.002136,0,0,3.30939,1.14711,0,1
17/3/2016,420.621002,11.0815,0,0.000223,0,0.002147,0,0,3.30739,1.30117,0,0.999983
18/3/2016,409.548004,10.9981,0,0.000209,0,0.00198,0,0,3.16981,1.14677,0,0.999998
19/3/2016,410.444,10.5307,0,0.00022,0,0.002015,0,0,3.17825,1.20845,0,0.999998
20/3/2016,413.755005,10.3198,0,0.000214,0,0.002088,0,0,3.20555,1.51674,0,0.999998
21/3/2016,413.307007,11.8641,0,0.000212,0,0.002074,0,0,3.20091,1.49133,0,0.999999
22/3/2016,418.088989,11.2748,0,0.000217,0,0.002079,0,0,3.23472,1.38773,0,0.999999
23/3/2016,418.040985,12.4167,0,0.000212,0,0.002174,0,0,3.2428,1.45487,0,0.999999
24/3/2016,416.394012,11.235,0,0.000213,0,0.00208,0,0,3.2247,1.70171,0,0.999972
25/3/2016,417.177002,10.7432,0,0.000214,0,0.002076,0,0,3.22907,1.60253,0,1
