date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
6/24/2016,665.299011,0.000281,4.2791,25.68,45.73,31.549999,52.119999
6/27/2016,655.275024,0.000288,4.11985,24.9,45.240002,30.719999,51.139999
6/28/2016,647.000977,0.000301,4.10066,25.26,45.900002,31.190001,52.509998
6/29/2016,639.890015,0.000296,4.06188,25.799999,46.650002,31.93,53.549999
6/30/2016,673.336975,0.000304,4.1935,26.23,47.009998,32.799999,53.57
7/1/2016,676.296021,0.000302,4.25597,26.530001,46.66,32.75,53
7/5/2016,670.627014,0.000287,4.45228,26.26,47.349998,32.68,51.939999
7/6/2016,677.330994,0.000284,4.46822,26.15,47.650002,32.970001,52.369999
7/7/2016,640.562012,0.000275,4.11188,26.309999,48.889999,33.200001,52.93
7/8/2016,666.52301,0.000277,4.21991,26.73,50.849998,34,54.189999
7/11/2016,647.658997,0.000267,4.08544,27.200001,52.02,34.380001,54.119999
7/12/2016,664.551025,0.000265,4.15328,26.969999,52.799999,34.939999,54.619999
7/13/2016,654.468018,0.000263,4.13855,26.889999,52.779999,35.009998,54.830002
7/14/2016,658.078003,0.000262,4.14846,27.110001,53.32,35.200001,54.880001
7/15/2016,663.255005,0.000264,4.15977,27.01,52.700001,35.07,54.75
7/18/2016,673.106018,0.000252,4.14822,27.639999,52.970001,35.049999,55.349998
7/19/2016,672.864014,0.000245,4.14916,27.27,53.52,35.150002,55.139999
7/20/2016,665.684998,0.000244,4.12506,27.549999,54.220001,35.689999,55.82
7/21/2016,665.012024,0.000237,4.12023,27.48,53.220001,34.27,59.93
7/22/2016,650.619019,0.000237,4.03829,27.74,54.669998,34.66,61.150002
7/25/2016,654.096985,0.000245,4.03204,27.860001,55.68,34.689999,60.73
7/26/2016,651.783997,0.00024,3.97024,28.33,56.630001,35.09,61.349998
7/27/2016,654.35199,0.000237,3.95589,28.1,56.060001,34.830002,62.509998
7/28/2016,655.034973,0.000238,3.96774,28.139999,56.18,34.77,62.43
7/29/2016,656.992004,0.000238,4.07744,27.780001,57.099998,34.860001,62.580002
8/1/2016,606.271973,0.000223,3.86342,28.620001,56.73,34.849998,61.849998
8/2/2016,547.465027,0.000206,3.63958,28.16,56.040001,34.560001,60.599998
8/3/2016,566.35498,0.000214,3.71923,28.16,56.189999,34.25,61.009998
8/4/2016,578.289001,0.000215,3.74845,28.4,57.23,34.580002,60.98
8/5/2016,575.04303,0.000218,3.72904,28.790001,58.200001,34.98,62
8/8/2016,591.054016,0.000237,3.78551,29.09,58.740002,35.040001,61.580002
8/9/2016,587.801025,0.000237,3.75975,29.4,58.889999,34.919998,61.990002
8/10/2016,592.103027,0.000239,3.72242,29.219999,58.509998,34.529999,61.709999
8/11/2016,589.119995,0.000235,3.74217,29.139999,59.700001,34.68,61.740002
8/12/2016,587.559021,0.000239,3.70935,29.24,63.040001,34.57,61.709999
8/15/2016,567.23999,0.000238,3.57708,29.389999,62.98,34.91,62.43
8/16/2016,577.439026,0.000258,3.63772,29.08,62.599998,35.209999,62.07
8/17/2016,573.216003,0.000247,3.59944,28.98,61.150002,35.02,62.279999
8/18/2016,574.317993,0.000247,3.60712,29.16,62.099998,34.970001,63.040001
8/19/2016,575.630005,0.000233,3.60409,28.639999,62.259998,35.240002,62.759998
8/22/2016,586.752991,0.000229,3.65726,28.4,62.52,35.360001,62.830002
8/23/2016,583.414978,0.000227,3.93073,28.5,62.91,35.400002,63.09
8/24/2016,580.182007,0.000231,3.85505,28.389999,61.939999,35.150002,62.610001
8/25/2016,577.760986,0.000229,3.80207,28.6,61.529999,35.09,62.639999
8/26/2016,579.651001,0.000231,3.82638,28.639999,62.029999,35.259998,62.970001
8/29/2016,574.106995,0.000225,3.75952,28.700001,61.990002,35.549999,62.98
8/30/2016,577.502991,0.000233,3.80406,28.620001,61.630001,35.700001,62.939999
8/31/2016,575.471985,0.000235,3.79744,28.74,61.34,35.889999,63.07
9/1/2016,572.302979,0.000232,3.83201,28.959999,63.150002,36.02,63.470001
9/2/2016,575.536987,0.000235,3.82457,29.139999,62.529999,36.080002,63.349998
9/6/2016,610.435974,0.000241,3.97236,29.49,63.119999,36.57,63.09
9/7/2016,614.544006,0.000242,3.96988,29.82,62.189999,36.459999,62.43
9/8/2016,626.315979,0.000228,3.98834,29.790001,62.639999,36.439999,62.689999
9/9/2016,622.861023,0.00023,3.96999,28.59,59.52,35.439999,60.52
9/12/2016,608.242981,0.000226,3.82319,28.99,60.75,36.080002,62.25
9/13/2016,609.241028,0.000225,3.82171,28.49,59.869999,35.610001,61.290001
9/14/2016,610.684021,0.000226,3.83216,28.620001,60.400002,35.619999,61.59
9/15/2016,607.155029,0.000233,3.81192,29.18,62.689999,36.560001,62.540001
9/16/2016,606.973022,0.00025,3.80619,28.91,62.84,37.669998,62.990002
9/19/2016,609.22699,0.000236,3.83116,29.93,63.669998,37.16,62.860001
9/20/2016,608.312012,0.000232,3.84207,29.9,63.09,37.139999,62.700001
9/21/2016,597.148987,0.000231,3.84037,30.5,64.860001,37.450001,63.57
9/22/2016,596.297974,0.000228,3.76757,30.66,65.019997,37.549999,63.52
9/23/2016,602.84198,0.000224,3.81291,30.120001,64.949997,37.189999,62.75
9/26/2016,608.04303,0.000229,3.85874,29.84,64.339996,36.650002,62.310001
9/27/2016,606.166016,0.000228,3.85224,30.4,66.540001,37.18,63.310001
9/28/2016,604.728027,0.000229,3.83761,30.33,66.779999,37.439999,63.450001
9/29/2016,605.692993,0.000231,3.84561,30.4,67.400002,37.32,67.449997
9/30/2016,609.734985,0.000235,3.8416,30.59,68.519997,37.75,68.5
10/3/2016,612.132996,0.000234,3.83797,30.719999,68.449997,37.66,67.110001
10/4/2016,610.203979,0.000229,3.82303,30.389999,68.300003,37.540001,66.68
10/5/2016,612.510986,0.000233,3.84313,30.530001,68.230003,37.990002,66.839996
10/6/2016,613.020996,0.000223,3.84654,30.77,67.339996,38.07,67.540001
10/7/2016,617.120972,0.000228,3.86229,31.18,66.849998,38.099998,68.190002
10/10/2016,618.994019,0.000228,3.79517,31.280001,67.099998,38.02,67.25
10/11/2016,641.072021,0.00023,3.81633,30.73,66.129997,37.27,66.089996
10/12/2016,636.192017,0.000225,3.75851,31.35,66.43,37.130001,66.059998
10/13/2016,636.786011,0.000227,3.90657,30.530001,65.349998,36.970001,65.699997
10/14/2016,640.377991,0.000227,3.8976,30.66,65.989998,37.450001,65.699997
10/17/2016,639.192993,0.000221,3.91048,30.57,65.610001,37.290001,65.190002
10/18/2016,637.960022,0.000221,3.83958,30.860001,66.610001,37.75,66.099998
